customer_id,first_name,last_name,email,phone,signup_date
C00063,Grace,Lee,grace.lee@example.com,555-5911,2023-05-24
C00064,Alice,Anderson,alice.anderson@example.com,555-3510,2023-08-01
C00065,Mike,Lee,mike.lee@example.com,555-8421,2023-08-26
C00066,Oscar,Taylor,oscar.taylor@example.com,555-6292,2023-01-07
C00067,Bob,Scott,bob.scott@example.com,555-1141,2023-10-11
C00068,Bob,Lee,bob.lee@example.com,555-2386,2023-09-17
C00069,Frank,Hall,frank.hall@example.com,555-3303,2023-11-09
C00070,Mike,Young,mike.young@example.com,555-1299,2023-01-05
C00071,Hank,Smith,hank.smith@example.com,555-3247,2023-02-25
C00072,Ivy,Hall,ivy.hall@example.com,555-8967,2023-05-10
C00073,Oscar,Young,oscar.young@example.com,555-9844,2023-12-25
C00074,Pam,Baker,pam.baker@example.com,555-3107,2023-04-05
C00075,Bob,King,bob.king@example.com,555-1433,2023-03-16
C00076,Mike,Young,mike.young@example.com,555-7196,2023-02-14
C00077,Hank,Hall,hank.hall@example.com,555-4028,2023-09-13
C00078,Laura,Allen,laura.allen@example.com,555-7424,2023-09-13
C00079,Mike,Anderson,mike.anderson@example.com,555-5933,2023-05-31
C00080,Bob,Smith,bob.smith@example.com,555-7483,2023-03-18
C00081,Grace,Lee,grace.lee@example.com,555-8895,2023-02-19
C00082,Jack,Johnson,jack.johnson@example.com,555-7931,2023-06-04
C00083,Grace,Allen,grace.allen@example.com,555-7764,2023-10-20
C00084,David,Allen,david.allen@example.com,555-4292,2023-12-21
C00085,Laura,Scott,laura.scott@example.com,555-2220,2023-04-28
C00086,Bob,Anderson,bob.anderson@example.com,555-3663,2023-05-04
C00087,Jack,Allen,jack.allen@example.com,555-4285,2023-10-23
C00088,Laura,Miller,laura.miller@example.com,555-8124,2023-08-12
C00089,Grace,Hill,grace.hill@example.com,555-5662,2023-08-19
C00090,Pam,Allen,pam.allen@example.com,555-8651,2023-07-01
C00091,Hank,Johnson,hank.johnson@example.com,555-1244,2023-09-02
C00092,Alice,Anderson,alice.anderson@example.com,555-7948,2023-04-28
C00093,Bob,Hill,bob.hill@example.com,555-6223,2023-12-20
C00094,Frank,Allen,frank.allen@example.com,555-1951,2023-04-11
C00095,Frank,Walker,frank.walker@example.com,555-6005,2023-07-05
C00096,Frank,Baker,frank.baker@example.com,555-6661,2023-09-04
C00097,Hank,Miller,hank.miller@example.com,555-3692,2023-09-25
C00098,Grace,Smith,grace.smith@example.com,555-1011,2023-06-07
C00099,Mike,Young,mike.young@example.com,555-7459,2023-08-27
C00100,David,Baker,david.baker@example.com,555-1830,2023-01-05
C00101,David,Walker,david.walker@example.com,555-2555,2023-11-02
C00102,Nina,Miller,nina.miller@example.com,555-2942,2023-03-13
C00103,Pam,Taylor,pam.taylor@example.com,555-3394,2023-01-29
C00104,Bob,Young,bob.young@example.com,555-6643,2023-07-18
C00105,Bob,Scott,bob.scott@example.com,555-7086,2023-12-18
C00106,David,King,david.king@example.com,555-1488,2023-12-11
C00107,Hank,Smith,hank.smith@example.com,555-8518,2023-04-18
C00108,Grace,Smith,grace.smith@example.com,555-3223,2023-03-26
C00109,Grace,Anderson,grace.anderson@example.com,555-5038,2023-06-22
C00110,Laura,Smith,laura.smith@example.com,555-1552,2023-08-12
C00111,Hank,Walker,hank.walker@example.com,555-7404,2023-07-07
C00112,Ivy,King,ivy.king@example.com,555-8240,2023-08-08
C00113,Hank,Hall,hank.hall@example.com,555-3001,2023-12-27
C00114,Alice,Allen,alice.allen@example.com,555-8864,2023-10-30
C00115,Nina,King,nina.king@example.com,555-2579,2023-12-29
C00116,Frank,Johnson,frank.johnson@example.com,555-7994,2023-05-16
C00117,Alice,Taylor,alice.taylor@example.com,555-5870,2023-12-22
C00118,Eve,Lee,eve.lee@example.com,555-1556,2023-05-09
C00119,Mike,Anderson,mike.anderson@example.com,555-6336,2023-10-02
C00120,Mike,Brown,mike.brown@example.com,555-8685,2023-09-17
C00121,Eve,Hall,eve.hall@example.com,555-4460,2023-12-07
C00122,Nina,Hill,nina.hill@example.com,555-8185,2023-01-31
C00123,Jack,Scott,jack.scott@example.com,555-1860,2023-02-22
C00124,Eve,Miller,eve.miller@example.com,555-5287,2023-03-03
C00125,Hank,Johnson,hank.johnson@example.com,555-4292,2023-01-02
C00126,Nina,Anderson,nina.anderson@example.com,555-5836,2023-01-29
C00127,Grace,Walker,grace.walker@example.com,555-6554,2023-08-31
C00128,Hank,Walker,hank.walker@example.com,555-8053,2023-03-13
C00129,Oscar,Johnson,oscar.johnson@example.com,555-2611,2023-03-20
C00130,Nina,Smith,nina.smith@example.com,555-1760,2023-05-18
C00131,Alice,King,alice.king@example.com,555-8349,2023-12-10
C00132,Alice,Allen,alice.allen@example.com,555-2993,2023-05-09
C00133,Frank,Hill,frank.hill@example.com,555-2311,2023-12-20
C00134,Eve,Johnson,eve.johnson@example.com,555-9875,2023-04-15
C00135,Nina,Brown,nina.brown@example.com,555-9628,2023-07-20
C00136,David,Brown,david.brown@example.com,555-1134,2023-11-25
C00137,Mike,Scott,mike.scott@example.com,555-6930,2023-05-15
C00138,Carol,Baker,carol.baker@example.com,555-9226,2023-11-17
C00139,Carol,Johnson,carol.johnson@example.com,555-8690,2023-11-22
C00140,Bob,Scott,bob.scott@example.com,555-8284,2023-10-23
C00141,Oscar,Walker,oscar.walker@example.com,555-9012,2023-10-22
C00142,Bob,Young,bob.young@example.com,555-2491,2023-05-03
C00143,Jack,Hill,jack.hill@example.com,555-1312,2023-05-23
C00144,Eve,King,eve.king@example.com,555-7030,2023-10-01
C00145,Frank,King,frank.king@example.com,555-5301,2023-03-05
C00146,Oscar,Baker,oscar.baker@example.com,555-7406,2023-10-13
C00147,Nina,Allen,nina.allen@example.com,555-5921,2023-07-17
C00148,Hank,Allen,hank.allen@example.com,555-8339,2023-07-09
C00149,Hank,Hill,hank.hill@example.com,555-4682,2023-08-07
C00150,Nina,Johnson,nina.johnson@example.com,555-2642,2023-05-21
C00151,Pam,Lee,pam.lee@example.com,555-4151,2023-08-26
C00152,Hank,Johnson,hank.johnson@example.com,555-8196,2023-06-18
C00153,David,Johnson,david.johnson@example.com,555-8449,2023-03-04
C00154,Mike,Brown,mike.brown@example.com,555-2748,2023-08-08
C00155,Carol,Allen,carol.allen@example.com,555-7163,2023-01-06
C00156,Jack,Smith,jack.smith@example.com,555-7904,2023-08-22
C00157,Carol,Scott,carol.scott@example.com,555-9233,2023-06-13
C00158,Laura,Walker,laura.walker@example.com,555-7343,2023-09-11
C00159,Pam,Scott,pam.scott@example.com,555-1099,2023-05-02
C00160,Nina,Baker,nina.baker@example.com,555-6089,2023-03-17
C00161,Grace,Young,grace.young@example.com,555-7645,2023-12-16
C00162,Nina,Hall,nina.hall@example.com,555-6292,2023-02-10
C00163,Bob,Hill,bob.hill@example.com,555-6723,2023-01-23
C00164,Carol,Brown,carol.brown@example.com,555-1759,2023-07-02
C00165,Carol,Anderson,carol.anderson@example.com,555-9150,2023-03-28
C00166,Laura,Johnson,laura.johnson@example.com,555-7214,2023-07-04
C00167,Nina,Baker,nina.baker@example.com,555-2658,2023-07-07
C00168,Frank,Allen,frank.allen@example.com,555-8538,2023-04-19
C00169,Mike,Brown,mike.brown@example.com,555-8350,2023-02-05
C00170,Eve,Brown,eve.brown@example.com,555-4407,2023-04-15
C00171,Frank,Anderson,frank.anderson@example.com,555-8812,2023-07-19
C00172,Alice,Hall,alice.hall@example.com,555-5875,2023-04-29
C00173,Nina,Taylor,nina.taylor@example.com,555-4452,2023-09-01
C00174,Oscar,Walker,oscar.walker@example.com,555-1894,2023-12-28
C00175,Ivy,Lee,ivy.lee@example.com,555-9219,2023-11-05
C00176,Oscar,Scott,oscar.scott@example.com,555-1227,2023-07-04
C00177,Pam,Brown,pam.brown@example.com,555-1331,2023-12-03
C00178,Pam,Miller,pam.miller@example.com,555-6215,2023-09-26
C00179,Bob,Brown,bob.brown@example.com,555-7691,2023-08-06
C00180,Hank,Walker,hank.walker@example.com,555-9301,2023-06-27
C00181,Laura,Scott,laura.scott@example.com,555-3983,2023-07-09
C00182,Nina,Allen,nina.allen@example.com,555-5728,2023-10-05
C00183,Alice,Allen,alice.allen@example.com,555-5944,2023-05-17
C00184,Carol,Walker,carol.walker@example.com,555-1264,2023-09-12
C00185,Nina,Brown,nina.brown@example.com,555-2407,2023-04-19
C00186,Mike,Walker,mike.walker@example.com,555-7979,2023-11-12
C00187,Laura,Scott,laura.scott@example.com,555-1693,2023-06-18
C00188,Nina,Hill,nina.hill@example.com,555-8461,2023-07-31
C00189,Ivy,Lee,ivy.lee@example.com,555-3386,2023-06-15
C00190,Oscar,Allen,oscar.allen@example.com,555-6037,2023-08-18
C00191,Pam,Hall,pam.hall@example.com,555-5173,2023-01-21
C00192,Eve,Anderson,eve.anderson@example.com,555-3834,2023-09-10
C00193,Jack,Scott,jack.scott@example.com,555-3314,2023-11-09
C00194,Carol,Smith,carol.smith@example.com,555-5588,2023-04-26
C00195,Nina,Hill,nina.hill@example.com,555-8657,2023-02-22
C00196,Bob,Scott,bob.scott@example.com,555-3608,2023-11-10
C00197,Nina,Johnson,nina.johnson@example.com,555-5360,2023-08-31
C00198,Bob,Hall,bob.hall@example.com,555-7790,2023-05-07
C00199,Oscar,Baker,oscar.baker@example.com,555-6415,2023-05-05
C00200,Alice,Scott,alice.scott@example.com,555-2414,2023-05-09
C00201,Pam,Anderson,pam.anderson@example.com,555-9454,2023-06-03
C00202,Jack,Miller,jack.miller@example.com,555-5342,2023-08-07
C00203,David,Anderson,david.anderson@example.com,555-5340,2023-09-30
C00204,Bob,Hall,bob.hall@example.com,555-9854,2023-12-13
C00205,Jack,Miller,jack.miller@example.com,555-7490,2023-11-29
C00206,Ivy,Taylor,ivy.taylor@example.com,555-1920,2023-11-02
C00207,Laura,Walker,laura.walker@example.com,555-9631,2023-02-26
C00208,Alice,King,alice.king@example.com,555-5594,2023-06-22
C00209,Grace,Young,grace.young@example.com,555-1407,2023-01-12
C00210,Nina,Young,nina.young@example.com,555-3456,2023-02-01
C00211,Bob,Johnson,bob.johnson@example.com,555-5519,2023-03-10
C00212,Bob,Hill,bob.hill@example.com,555-2025,2023-02-02
C00213,Alice,Taylor,alice.taylor@example.com,555-6091,2023-01-08
C00214,Ivy,Anderson,ivy.anderson@example.com,555-1774,2023-06-20
C00215,Carol,Miller,carol.miller@example.com,555-9214,2023-01-25
C00216,Carol,Anderson,carol.anderson@example.com,555-4385,2023-01-25
C00217,Jack,Smith,jack.smith@example.com,555-3740,2023-11-30
C00218,Grace,Miller,grace.miller@example.com,555-6836,2023-08-23
C00219,Grace,Brown,grace.brown@example.com,555-2708,2023-01-24
C00220,Nina,Baker,nina.baker@example.com,555-7945,2023-06-21
C00221,Frank,Johnson,frank.johnson@example.com,555-4348,2023-02-05
C00222,Jack,Scott,jack.scott@example.com,555-5879,2023-01-17
C00223,Jack,Anderson,jack.anderson@example.com,555-3162,2023-08-18
C00224,Alice,Johnson,alice.johnson@example.com,555-4664,2023-03-04
C00225,Jack,King,jack.king@example.com,555-1533,2023-01-01
C00226,Pam,Taylor,pam.taylor@example.com,555-9146,2023-11-07
C00227,Eve,King,eve.king@example.com,555-8319,2023-01-26
C00228,Mike,Anderson,mike.anderson@example.com,555-8751,2023-05-27
C00229,Ivy,Smith,ivy.smith@example.com,555-2437,2023-08-02
C00230,Bob,Allen,bob.allen@example.com,555-5075,2023-09-20
C00231,Frank,Miller,frank.miller@example.com,555-6101,2023-06-03
C00232,Hank,King,hank.king@example.com,555-5935,2023-05-31
C00233,Alice,Johnson,alice.johnson@example.com,555-9352,2023-08-03
C00234,Nina,Walker,nina.walker@example.com,555-1482,2023-12-03
C00235,Mike,Scott,mike.scott@example.com,555-5636,2023-01-23
C00236,Oscar,Scott,oscar.scott@example.com,555-8434,2023-11-24
C00237,Ivy,Walker,ivy.walker@example.com,555-5276,2023-03-29
C00238,Frank,Baker,frank.baker@example.com,555-4860,2023-02-01
C00239,Laura,Young,laura.young@example.com,555-7808,2023-01-11
C00240,Carol,Smith,carol.smith@example.com,555-4214,2023-05-27
C00241,Nina,Young,nina.young@example.com,555-3381,2023-10-21
C00242,Eve,Lee,eve.lee@example.com,555-9271,2023-09-26
C00243,Grace,Baker,grace.baker@example.com,555-9995,2023-08-30
C00244,Alice,Allen,alice.allen@example.com,555-3473,2023-11-11
C00245,Ivy,Hall,ivy.hall@example.com,555-7414,2023-09-12
C00246,Pam,Scott,pam.scott@example.com,555-1387,2023-12-07
C00247,Laura,Young,laura.young@example.com,555-4435,2023-06-01
C00248,Nina,Miller,nina.miller@example.com,555-6555,2023-07-19
C00249,David,Baker,david.baker@example.com,555-5673,2023-03-18
C00250,Carol,Taylor,carol.taylor@example.com,555-4691,2023-06-21
C00251,David,Lee,david.lee@example.com,555-7318,2023-09-07
C00252,David,Miller,david.miller@example.com,555-4070,2023-10-02
C00253,Nina,Allen,nina.allen@example.com,555-4266,2023-02-10
C00254,Oscar,Scott,oscar.scott@example.com,555-4634,2023-08-31
C00255,Pam,Taylor,pam.taylor@example.com,555-9418,2023-07-10
C00256,Frank,Brown,frank.brown@example.com,555-9491,2023-09-26
C00257,Frank,Scott,frank.scott@example.com,555-3943,2023-02-06
C00258,Laura,Allen,laura.allen@example.com,555-3787,2023-05-15
C00259,Laura,Lee,laura.lee@example.com,555-9222,2023-09-19
C00260,Oscar,Baker,oscar.baker@example.com,555-6189,2023-05-27
C00261,Bob,Scott,bob.scott@example.com,555-8203,2023-10-08
C00262,Oscar,Taylor,oscar.taylor@example.com,555-5069,2023-07-20
C00263,Bob,Lee,bob.lee@example.com,555-5155,2023-04-28
C00264,Eve,Miller,eve.miller@example.com,555-7731,2023-08-20
C00265,Ivy,Miller,ivy.miller@example.com,555-9059,2023-03-08
C00266,Oscar,Walker,oscar.walker@example.com,555-4106,2023-05-22
C00267,Eve,Taylor,eve.taylor@example.com,555-5027,2023-05-06
C00268,David,Hall,david.hall@example.com,555-5296,2023-02-27
C00269,Oscar,Lee,oscar.lee@example.com,555-7195,2023-09-22
C00270,Eve,Walker,eve.walker@example.com,555-6793,2023-05-17
C00271,Frank,Johnson,frank.johnson@example.com,555-1234,2023-10-20
C00272,Pam,Young,pam.young@example.com,555-9320,2023-01-31
C00273,Mike,King,mike.king@example.com,555-7205,2023-06-29
C00274,Eve,Allen,eve.allen@example.com,555-2062,2023-01-18
C00275,Carol,Brown,carol.brown@example.com,555-3398,2023-08-24
C00276,Laura,Scott,laura.scott@example.com,555-9366,2023-11-23
C00277,Ivy,Allen,ivy.allen@example.com,555-7288,2023-07-24
C00278,Mike,Lee,mike.lee@example.com,555-2124,2023-12-17
C00279,Alice,Johnson,alice.johnson@example.com,555-4778,2023-01-13
C00280,Eve,Allen,eve.allen@example.com,555-8764,2023-03-27
C00281,Ivy,Lee,ivy.lee@example.com,555-6840,2023-02-15
C00282,Hank,Young,hank.young@example.com,555-7358,2023-04-20
C00283,David,Lee,david.lee@example.com,555-4843,2023-11-05
C00284,Hank,Brown,hank.brown@example.com,555-2196,2023-04-10
C00285,Jack,Taylor,jack.taylor@example.com,555-8310,2023-05-16
C00286,Oscar,Baker,oscar.baker@example.com,555-3813,2023-05-06
C00287,Bob,Walker,bob.walker@example.com,555-6036,2023-10-01
C00288,Pam,Baker,pam.baker@example.com,555-3614,2023-03-04
C00289,Bob,Walker,bob.walker@example.com,555-8261,2023-01-19
C00290,Mike,Brown,mike.brown@example.com,555-6307,2023-11-15
C00291,Frank,Brown,frank.brown@example.com,555-6071,2023-09-03
C00292,Laura,Hall,laura.hall@example.com,555-1075,2023-04-10
C00293,Grace,King,grace.king@example.com,555-7865,2023-07-26
C00294,Grace,Anderson,grace.anderson@example.com,555-5725,2023-04-12
C00295,David,Miller,david.miller@example.com,555-1483,2023-08-01
C00296,Alice,Johnson,alice.johnson@example.com,555-7981,2023-01-29
C00297,Eve,Allen,eve.allen@example.com,555-1530,2023-01-04
C00298,Bob,Lee,bob.lee@example.com,555-8257,2023-12-26
C00299,Frank,Hall,frank.hall@example.com,555-5837,2023-08-12
C00300,Nina,Johnson,nina.johnson@example.com,555-4045,2023-03-25
C00301,Eve,King,eve.king@example.com,555-6627,2023-11-19
C00302,David,Hill,david.hill@example.com,555-8145,2023-02-23
C00303,Mike,Taylor,mike.taylor@example.com,555-7938,2023-03-15
C00304,Oscar,Baker,oscar.baker@example.com,555-8779,2023-02-26
C00305,Grace,Lee,grace.lee@example.com,555-9695,2023-01-12
C00306,Frank,Lee,frank.lee@example.com,555-5016,2023-06-16
C00307,Nina,Hall,nina.hall@example.com,555-7737,2023-10-07
C00308,David,Miller,david.miller@example.com,555-5520,2023-09-06
C00309,Hank,Scott,hank.scott@example.com,555-2095,2023-07-14
C00310,Eve,Lee,eve.lee@example.com,555-4031,2023-05-17
C00311,Jack,Walker,jack.walker@example.com,555-6993,2023-09-02
C00312,Grace,Walker,grace.walker@example.com,555-6637,2023-10-09
C00313,Oscar,Young,oscar.young@example.com,555-1392,2023-05-06
C00314,Jack,Scott,jack.scott@example.com,555-4406,2023-06-03
C00315,Frank,Scott,frank.scott@example.com,555-1029,2023-09-23
C00316,Eve,Brown,eve.brown@example.com,555-2929,2023-10-15
C00317,Bob,Smith,bob.smith@example.com,555-3614,2023-09-29
C00318,Frank,Johnson,frank.johnson@example.com,555-6528,2023-08-01
C00319,Laura,Taylor,laura.taylor@example.com,555-9330,2023-02-05
C00320,Frank,Hall,frank.hall@example.com,555-5185,2023-12-20
C00321,Carol,Young,carol.young@example.com,555-8051,2023-09-16
C00322,Pam,Johnson,pam.johnson@example.com,555-9442,2023-08-20
C00323,Ivy,King,ivy.king@example.com,555-6719,2023-08-05
C00324,Jack,Anderson,jack.anderson@example.com,555-8856,2023-11-16
C00325,Pam,Anderson,pam.anderson@example.com,555-3943,2023-03-07
C00326,Frank,Young,frank.young@example.com,555-5198,2023-08-14
C00327,Oscar,Allen,oscar.allen@example.com,555-3198,2023-12-31
C00328,Frank,Anderson,frank.anderson@example.com,555-2805,2023-11-23
C00329,Alice,Hill,alice.hill@example.com,555-7368,2023-06-01
C00330,David,Scott,david.scott@example.com,555-3894,2023-04-02
C00331,Mike,Lee,mike.lee@example.com,555-1309,2023-10-11
C00332,Bob,Walker,bob.walker@example.com,555-9015,2023-07-28
C00333,Bob,King,bob.king@example.com,555-5982,2023-12-28
C00334,Mike,Walker,mike.walker@example.com,555-3334,2023-03-20
C00335,Ivy,Baker,ivy.baker@example.com,555-4121,2023-05-01
C00336,Hank,Lee,hank.lee@example.com,555-6970,2023-12-19
C00337,Laura,Miller,laura.miller@example.com,555-3547,2023-06-10
C00338,Carol,Young,carol.young@example.com,555-6166,2023-10-01
C00339,Carol,King,carol.king@example.com,555-9403,2023-02-21
C00340,Nina,Allen,nina.allen@example.com,555-7851,2023-11-21
C00341,Frank,Allen,frank.allen@example.com,555-2195,2023-03-11
C00342,Pam,Taylor,pam.taylor@example.com,555-5180,2023-10-25
C00343,Mike,Anderson,mike.anderson@example.com,555-6976,2023-12-31
C00344,Ivy,Anderson,ivy.anderson@example.com,555-5453,2023-03-06
C00345,Bob,Miller,bob.miller@example.com,555-6907,2023-07-20
C00346,Jack,King,jack.king@example.com,555-4422,2023-05-22
C00347,Carol,Young,carol.young@example.com,555-4073,2023-08-04
C00348,David,Taylor,david.taylor@example.com,555-8444,2023-05-09
C00349,Oscar,Walker,oscar.walker@example.com,555-9632,2023-05-19
C00350,Frank,Miller,frank.miller@example.com,555-7879,2023-08-20
C00351,David,Miller,david.miller@example.com,555-3745,2023-01-14
C00352,Laura,Scott,laura.scott@example.com,555-5045,2023-08-26
C00353,Pam,Young,pam.young@example.com,555-5437,2023-08-16
C00354,Carol,Hall,carol.hall@example.com,555-2990,2023-06-12
C00355,Hank,Lee,hank.lee@example.com,555-6751,2023-07-04
C00356,Mike,Anderson,mike.anderson@example.com,555-8792,2023-01-20
C00357,Bob,Baker,bob.baker@example.com,555-2291,2023-05-17
C00358,Grace,Baker,grace.baker@example.com,555-5598,2023-05-21
C00359,Hank,Hill,hank.hill@example.com,555-2661,2023-01-17
C00360,Jack,Walker,jack.walker@example.com,555-9925,2023-04-05
C00361,Eve,Lee,eve.lee@example.com,555-4616,2023-03-19
C00362,Oscar,Hill,oscar.hill@example.com,555-3861,2023-11-08
C00363,Alice,Scott,alice.scott@example.com,555-2194,2023-10-15
C00364,Alice,Hill,alice.hill@example.com,555-5258,2023-06-13
C00365,Alice,Anderson,alice.anderson@example.com,555-5527,2023-11-27
C00366,Ivy,Miller,ivy.miller@example.com,555-7633,2023-03-10
C00367,Jack,Allen,jack.allen@example.com,555-7670,2023-07-21
C00368,Alice,Walker,alice.walker@example.com,555-9389,2023-08-17
C00369,Mike,Baker,mike.baker@example.com,555-4490,2023-09-15
C00370,Carol,Brown,carol.brown@example.com,555-2667,2023-01-18
C00371,Grace,Johnson,grace.johnson@example.com,555-6918,2023-07-30
C00372,Pam,Scott,pam.scott@example.com,555-7731,2023-02-21
C00373,Jack,King,jack.king@example.com,555-7343,2023-05-12
C00374,Carol,Smith,carol.smith@example.com,555-3399,2023-03-22
C00375,Frank,Walker,frank.walker@example.com,555-4978,2023-04-24
C00376,Grace,Brown,grace.brown@example.com,555-1860,2023-07-20
C00377,Grace,Hill,grace.hill@example.com,555-8796,2023-04-23
C00378,Ivy,Hill,ivy.hill@example.com,555-6444,2023-08-05
C00379,Hank,Johnson,hank.johnson@example.com,555-6223,2023-07-08
C00380,Jack,Johnson,jack.johnson@example.com,555-7746,2023-07-25
C00381,Mike,King,mike.king@example.com,555-6357,2023-09-02
C00382,Bob,Lee,bob.lee@example.com,555-4081,2023-12-31
C00383,Laura,Walker,laura.walker@example.com,555-5898,2023-01-14
C00384,Bob,Hill,bob.hill@example.com,555-5241,2023-02-11
C00385,Eve,Miller,eve.miller@example.com,555-2247,2023-04-30
C00386,Eve,Baker,eve.baker@example.com,555-5222,2023-02-16
C00387,Pam,King,pam.king@example.com,555-6722,2023-01-30
C00388,Bob,Allen,bob.allen@example.com,555-7945,2023-07-16
C00389,Frank,Scott,frank.scott@example.com,555-1659,2023-08-13
C00390,Carol,Anderson,carol.anderson@example.com,555-4166,2023-07-12
C00391,Jack,Lee,jack.lee@example.com,555-3224,2023-07-02
C00392,Laura,Young,laura.young@example.com,555-4697,2023-02-10
C00393,Alice,Hill,alice.hill@example.com,555-9281,2023-10-22
C00394,David,Scott,david.scott@example.com,555-4328,2023-04-25
C00395,Hank,Young,hank.young@example.com,555-2090,2023-03-03
C00396,Jack,Hill,jack.hill@example.com,555-2328,2023-09-13
C00397,Carol,Baker,carol.baker@example.com,555-4380,2023-12-01
C00398,Oscar,Young,oscar.young@example.com,555-5667,2023-07-05
C00399,Frank,Allen,frank.allen@example.com,555-2668,2023-01-12
C00400,Laura,Hill,laura.hill@example.com,555-1626,2023-07-02
C00401,Pam,Scott,pam.scott@example.com,555-1550,2023-08-08
C00402,Bob,Hill,bob.hill@example.com,555-9463,2023-05-04
C00403,David,Taylor,david.taylor@example.com,555-2731,2023-11-27
C00404,Alice,Lee,alice.lee@example.com,555-1653,2023-07-07
C00405,Carol,Allen,carol.allen@example.com,555-5591,2023-06-13
C00406,Carol,Baker,carol.baker@example.com,555-4601,2023-10-10
C00407,David,Baker,david.baker@example.com,555-3640,2023-01-18
C00408,Frank,Allen,frank.allen@example.com,555-6028,2023-12-18
C00409,Oscar,Young,oscar.young@example.com,555-4334,2023-10-03
